Id,SalePrice
1460,147503.23
1461,122226.086
1462,160426.81
1463,186756.39
1464,193769.39
1465,190871.75
1466,174339.69
1467,171358.72
1468,169733.2
1469,178327.28
1470,123378.32
1471,184361.53
1472,92495.06
1473,98865.55
1474,155161.81
1475,125623.01
1476,363021.7
1477,242559.25
1478,303005.88
1479,277740.6
1480,436790.4
1481,314338.5
1482,209801.52
1483,175432.69
1484,169706.81
1485,173115.64
1486,201336.06
1487,341465.38
1488,244700.78
1489,204700.55
1490,202808.03
1491,187391.14
1492,92046.8
1493,189531.03
1494,292719.3
1495,303253.38
1496,215179.94
1497,190455.19
1498,158479.64
1499,160024.23
1500,152304.12
1501,181987.56
1502,163838.42
1503,311791.0
1504,230859.22
1505,223120.12
1506,186896.97
1507,244681.86
1508,196319.47
1509,160917.84
1510,148159.55
1511,148672.38
1512,160822.9
1513,147791.69
1514,154120.75
1515,183893.92
1516,162518.34
1517,162287.44
1518,119794.78
1519,231792.97
1520,136246.34
1521,141697.72
1522,168275.8
1523,110171.3
1524,122409.13
1525,130660.375
1526,121846.305
1527,104285.71
1528,122792.945
1529,143683.75
1530,175556.44
1531,122213.63
1532,103334.66
1533,155693.55
1534,117977.56
1535,155832.02
1536,118173.11
1537,53942.035
1538,199349.31
1539,195097.31
1540,105291.28
1541,152847.42
1542,143900.92
1543,228888.9
1544,78092.94
1545,117281.6
1546,127205.86
1547,146920.16
1548,147344.72
1549,109583.74
1550,151378.3
1551,112048.93
1552,151093.3
1553,145033.31
1554,109757.664
1555,172419.78
1556,82603.18
1557,107177.5
1558,85529.22
1559,106814.94
1560,148686.2
1561,146098.4
1562,121347.79
1563,118987.94
1564,156363.36
1565,156050.08
1566,199995.95
1567,68441.555
1568,228052.95
1569,148017.6
1570,128237.72
1571,130607.6
1572,146876.05
1573,256426.52
1574,105044.75
1575,220718.5
1576,223818.03
1577,202504.08
1578,143944.3
1579,145382.55
1580,185952.97
1581,141101.83
1582,128249.97
1583,316245.12
1584,233493.69
1585,142041.62
1586,62673.992
1587,94675.65
1588,152874.62
1589,89016.15
1590,127422.81
1591,97876.1
1592,123280.27
1593,123813.32
1594,124384.64
1595,125712.58
1596,269376.8
1597,181983.56
1598,197232.27
1599,194827.06
1600,183312.84
1601,77567.98
1602,113330.08
1603,102579.2
1604,272869.75
1605,241569.48
1606,169835.14
1607,156416.4
1608,221467.34
1609,193747.56
1610,165701.62
1611,146838.34
1612,157303.1
1613,169810.06
1614,115290.12
1615,89329.586
1616,80000.414
1617,91546.734
1618,133601.48
1619,134952.31
1620,175811.72
1621,142181.69
1622,136470.72
1623,275117.2
1624,220143.4
1625,125526.35
1626,162840.33
1627,190458.52
1628,288044.4
1629,179569.38
1630,352125.3
1631,234229.1
1632,250818.92
1633,171891.42
1634,183050.95
1635,178245.97
1636,154500.23
1637,181133.95
1638,204829.83
1639,179274.55
1640,241115.36
1641,174006.6
1642,222804.84
1643,218325.16
1644,235820.98
1645,179549.2
1646,157240.62
1647,157127.67
1648,135261.97
1649,144727.88
1650,115916.75
1651,121088.5
1652,94296.67
1653,95280.08
1654,152897.12
1655,145400.9
1656,148563.02
1657,154534.52
1658,149186.67
1659,139118.7
1660,155333.81
1661,434543.44
1662,345554.78
1663,371911.22
1664,446918.22
1665,304008.2
1666,311342.44
1667,365874.75
1668,334089.0
1669,290424.72
1670,340412.16
1671,275523.5
1672,452371.56
1673,299990.2
1674,259475.16
1675,186486.25
1676,178727.19
1677,225531.64
1678,433254.1
1679,372183.56
1680,333057.03
1681,255659.64
1682,302452.25
1683,178817.98
1684,173257.25
1685,177366.03
1686,168372.16
1687,167321.86
1688,181887.7
1689,190203.23
1690,191554.11
1691,183402.03
1692,283757.9
1693,169101.23
1694,183172.86
1695,170024.31
1696,274387.22
1697,172325.61
1698,363492.22
1699,342220.1
1700,255501.81
1701,260139.95
1702,246064.33
1703,251741.3
1704,287274.84
1705,247078.55
1706,423092.28
1707,227285.6
1708,219067.53
1709,255737.81
1710,233924.14
1711,280400.22
1712,241561.2
1713,250464.47
1714,221498.72
1715,205986.52
1716,189729.67
1717,166005.66
1718,133044.52
1719,202518.69
1720,252636.58
1721,166249.5
1722,130255.98
1723,151833.8
1724,214619.66
1725,229609.36
1726,188092.39
1727,164662.77
1728,170319.8
1729,158009.16
1730,174117.52
1731,121900.83
1732,129000.82
1733,119368.82
1734,117778.58
1735,134091.23
1736,117863.03
1737,309378.34
1738,225928.0
1739,227478.69
1740,208673.34
1741,195939.94
1742,187261.61
1743,171714.19
1744,292818.28
1745,227425.34
1746,251402.6
1747,218949.61
1748,210432.73
1749,154778.8
1750,141802.42
1751,234530.75
1752,115362.88
1753,129357.83
1754,213467.83
1755,169702.89
1756,122183.664
1757,123845.61
1758,150297.33
1759,165396.64
1760,163850.16
1761,142352.92
